Date Time, Deer Creek Penstock #1 Flow, Deer Creek Penstock #2 Flow, Deer Creek Spillway Flow, Deer Creek Salt Lake Aqueduct Flow, Deer Creek Power Diversion Flow, Provo River Bridal Veil Flow
2020-07-01 21:27:59, 208, 205, 0, -69, -344, 0
2020-07-01 20:57:55, 207, 203, 0, -70, -340, 0
2020-07-01 20:27:58, 209, 203, 0, -70, -342, 0
2020-07-01 19:57:54, 206, 203, 0, -70, -339, 0
2020-07-01 19:27:58, 198, 203, 0, -70, -331, 0
2020-07-01 18:57:54, 198, 204, 0, -69, -333, 0
2020-07-01 18:27:57, 198, 206, 0, -70, -333, 0
2020-07-01 17:57:54, 199, 196, 0, -60, -335, 0
2020-07-01 17:27:57, 200, 196, 0, -60, -336, 0
2020-07-01 16:57:54, 202, 196, 0, -60, -338, 0
2020-07-01 16:27:56, 198, 196, 0, -60, -335, 0
2020-07-01 15:57:59, 198, 196, 0, -60, -334, 0
2020-07-01 15:27:56, 200, 196, 0, -60, -337, 0
2020-07-01 14:57:59, 199, 196, 0, -60, -334, 0
2020-07-01 14:27:55, 199, 195, 0, -60, -334, 0
2020-07-01 13:57:58, 199, 196, 0, -60, -335, 0
2020-07-01 13:27:55, 201, 195, 0, -60, -336, 0
2020-07-01 12:58:58, 200, 195, 0, -60, -336, 0
2020-07-01 12:27:54, 199, 195, 0, -59, -335, 0
2020-07-01 11:57:56, 201, 195, 0, -60, -337, 0
